CompID,SiteID,DP,AnimalID,AnimalSpecies,AnimalStrain,AnimalAge,AnimalSex,AnimalWeight,MRvendor,MRfield,MRcoil,Cryoprobe,MRsequence,MRbrainregion,MRVoxSize,MRvoxelvolume,MRaverages,MRsoftwareversion,MRSsw,MRSnpts,MRSTE,MRSTR,MRSshim,LW,LW_hz,SNR,SNR_LW_Ratio,CompCheck
compMRS038,S04,DP05,sub-06,Mouse,C57BL-6J,122,M,30.4,Bruker,7,"2-channel phased-array cooled surface coil for transmission/reception",FALSE,PRESS,Rhippocampus,1.2 x 2.0 x 2.2,5.28,256,PV7.0.0,4006.4,2048,20,4000,MAPSHIM,0.0213146256550585,6.40140206305257,60.7184279616216,2848.67437712712,pass
compMRS039,S04,DP05,sub-07,Mouse,C57BL-6J,65,M,24.1,Bruker,7,"2-channel phased-array cooled surface coil for transmission/reception",FALSE,PRESS,Rhippocampus,1.2 x 2.0 x 2.2,5.28,256,PV7.0.0,4006.4,2048,20,4000,MAPSHIM,0.0267939751850024,8.04700796220402,53.2617185418464,1987.82443344424,pass
compMRS040,S04,DP05,sub-08,Mouse,C57BL-6J,65,M,25,Bruker,7,"2-channel phased-array cooled surface coil for transmission/reception",FALSE,PRESS,Rhippocampus,1.2 x 2.0 x 2.2,5.28,256,PV7.0.0,4006.4,2048,20,4000,MAPSHIM,0.0253624851047997,7.61709122445822,57.5901562537118,2270.68270383383,pass
compMRS041,S05,DP06,sub-01,Mouse,C57BL-6J,144,M,27.7,Bruker,7,"cryoprobe",TRUE,sLASER,Rhippocampus,3.1 x 0.9 x 1.4,3.906,256,PV360 v3.5,6060.6,2048,20.7,4000,MAPSHIM,0.0250563483247814,7.52470544681209,124.656277213849,4975.03768697853,pass
compMRS042,S05,DP06,sub-02,Mouse,C57BL-6J,144,M,27.2,Bruker,7,"cryoprobe",TRUE,sLASER,Rhippocampus,3.1 x 0.9 x 1.4,3.906,256,PV360 v3.5,6060.6,2048,20.7,4000,MAPSHIM,0.0333897824209846,10.0273332699556,98.08354604463,2937.53175171897,pass
compMRS043,S05,DP06,sub-03,Mouse,C57BL-6J,146,M,29.5,Bruker,7,"cryoprobe",TRUE,sLASER,Rhippocampus,3.1 x 0.9 x 1.4,3.906,256,PV360 v3.5,6060.6,2048,20.7,4000,MAPSHIM,0.0207773041587694,6.23966066768402,110.104972052137,5299.29057257725,pass
compMRS044,S05,DP06,sub-04,Mouse,C57BL-6J,146,M,29,Bruker,7,"cryoprobe",TRUE,sLASER,Rhippocampus,3.1 x 0.9 x 1.4,3.906,256,PV360 v3.5,6060.6,2048,20.7,4000,MAPSHIM,0.0218770649494815,6.56993177314716,113.831193778807,5203.22054359968,pass
compMRS045,S05,DP06,sub-05,Mouse,C57BL-6J,146,M,30,Bruker,7,"cryoprobe",TRUE,sLASER,Rhippocampus,3.1 x 0.9 x 1.4,3.906,256,PV360 v3.5,6060.6,2048,20.7,4000,MAPSHIM,0.0181652047040387,5.45521500387914,119.254053282842,6564.97161611,pass
compMRS046,S05,DP06,sub-06,Mouse,C57BL-6J,147,M,29.5,Bruker,7,"cryoprobe",TRUE,sLASER,Rhippocampus,3.1 x 0.9 x 1.4,3.906,256,PV360 v3.5,6060.6,2048,20.7,4000,MAPSHIM,0.0422870267636433,12.6992723437815,90.052846526233,2129.56202926182,pass
compMRS047,S05,DP06,sub-07,Mouse,C57BL-6J,93,M,20,Bruker,7,"cryoprobe",TRUE,sLASER,Rhippocampus,3.1 x 0.9 x 1.4,3.906,256,PV360 v3.5,6060.6,2048,20.7,4000,MAPSHIM,0.0225132227286886,6.76097235759748,101.125193758848,4491.81332133246,pass
