CompID,SiteID,DP,SubjectInDP,AnimalID,AnimalSpecies,AnimalStrain,AnimalAge,AnimalSex,AnimalWeight,MRvendor,MRfield,MRsequence,MRbrainregion,MRvoxelvolume,MRaverages,MRsoftwareversion,MRcoildetail,MRSsw,MRSnpts,MRSTE,MRSTR,MRSshimmethod,LW,SNR,SNR_LW_Ratio,CompCheck
"compMRS042","S05","DP06",2,"sub-02","Mouse","C57BL-6J",144,"M",27.2,"Bruker",7,"sLASER","Rhippocampus",3.906,256,"PV360 v3.5","",6060.6,2048,20.7,4000,"MAPSHIM",12.4254415376784,103.565707817769,8.33497204133312,"pass"
"compMRS043","S05","DP06",3,"sub-03","Mouse","C57BL-6J",146,"M",29.5,"Bruker",7,"sLASER","Rhippocampus",3.906,256,"PV360 v3.5","",6060.6,2048,20.7,4000,"MAPSHIM",7.83617674444906,114.848718387545,14.656218476555,"pass"
"compMRS044","S05","DP06",4,"sub-04","Mouse","C57BL-6J",146,"M",29,"Bruker",7,"sLASER","Rhippocampus",3.906,256,"PV360 v3.5","",6060.6,2048,20.7,4000,"MAPSHIM",8.5568775007001,109.193951421692,12.7609576522227,"pass"
"compMRS045","S05","DP06",5,"sub-05","Mouse","C57BL-6J",146,"M",30,"Bruker",7,"sLASER","Rhippocampus",3.906,256,"PV360 v3.5","",6060.6,2048,20.7,4000,"MAPSHIM",6.39777180487016,120.952732886533,18.9054465485093,"pass"
"compMRS046","S05","DP06",6,"sub-06","Mouse","C57BL-6J",147,"M",29.5,"Bruker",7,"sLASER","Rhippocampus",3.906,256,"PV360 v3.5","",6060.6,2048,20.7,4000,"MAPSHIM",15.969099310626,88.4176271442979,5.5367948701693,"pass"
"compMRS047","S05","DP06",7,"sub-07","Mouse","C57BL-6J",93,"M",20,"Bruker",7,"sLASER","Rhippocampus",3.906,256,"PV360 v3.5","",6060.6,2048,20.7,4000,"MAPSHIM",9.09451888929477,104.424079513535,11.4820894634079,"pass"
"compMRS048","S05","DP06",8,"sub-08","Mouse","C57BL-6J",93,"M",22.8,"Bruker",7,"sLASER","Rhippocampus",3.906,256,"PV360 v3.5","",6060.6,2048,20.7,4000,"MAPSHIM",7.89703508448256,130.259814668257,16.4947747192125,"pass"
"compMRS049","S05","DP07",1,"sub-01","Mouse","C57BL-6J",144,"M",27.7,"Bruker",7,"sLASER","Rstriatum",2.366,256,"PV360 v3.5","",6060.6,2048,20.7,4000,"MAPSHIM",32.9993357662807,8.60769359864361,0.260844450312818,"pass"
"compMRS050","S05","DP07",2,"sub-02","Mouse","C57BL-6J",144,"M",27.2,"Bruker",7,"sLASER","Rstriatum",2.366,256,"PV360 v3.5","",6060.6,2048,20.7,4000,"MAPSHIM",10.5116952901117,52.8026485751769,5.0232286151643,"pass"
"compMRS051","S05","DP07",3,"sub-03","Mouse","C57BL-6J",146,"M",29.5,"Bruker",7,"sLASER","Rstriatum",2.366,256,"PV360 v3.5","",6060.6,2048,20.7,4000,"MAPSHIM",9.40509824699252,47.6691791106454,5.06844031383603,"pass"
